,title,release,critic_score,human_score
125,Bobi Wine: The People's President,"Jul 28, 2023",100,
126,The Unknown Country,"Jul 28, 2023",84,
127,The Mistress,"Jul 28, 2023",,
128,Susie Searches,"Jul 28, 2023",58,
129,Shrapnel,"Jul 28, 2023",,
130,Sons of Summer,"Jul 28, 2023",,
131,Rocky Aur Rani Kii Prem Kahaani,"Jul 28, 2023",,
132,For the Animals,"Jul 28, 2023",,
133,Never Say Never,"Jul 28, 2023",,
134,Walid,"Jul 28, 2023",,
135,Bro,"Jul 28, 2023",,
136,Barbie,"Jul 21, 2023",90,86
137,Oppenheimer,"Jul 21, 2023",94,92
138,Sound of Freedom,"Jul 04, 2023",70,99
139,"Mission: Impossible - Dead Reckoning, Part One","Jul 12, 2023",96,94
140,Indiana Jones and the Dial of Destiny,"Jun 30, 2023",69,88
141,Insidious: The Red Door,"Jul 07, 2023",38,69
142,Elemental,"Jun 16, 2023",73,93
143,Spider-Man: Across the Spider-Verse,"Jun 02, 2023",96,94
144,Transformers: Rise of the Beasts,"Jun 09, 2023",52,91
145,No Hard Feelings,"Jun 23, 2023",71,87
146,The Little Mermaid,"May 26, 2023",67,94
147,Cobweb,"Jul 21, 2023",61,73
148,Joy Ride,"Jul 07, 2023",91,81
149,The Flash,"Jun 16, 2023",64,83
150,Asteroid City,"Jun 23, 2023",74,62
151,Theater Camp,"Jul 14, 2023",85,78
152,"Ruby Gillman, Teenage Kraken","Jun 30, 2023",66,81
153,Past Lives,"Jun 30, 2023",98,93
154,Guardians of the Galaxy Vol. 3,"May 05, 2023",82,94
155,The Super Mario Bros. Movie,"Apr 05, 2023",59,95
156,Fast X,"May 19, 2023",57,84
157,The Blackening,"Jun 16, 2023",87,85
158,The Lesson,"Jul 07, 2023",78,69
159,Afire,"Jul 14, 2023",91,50
160,The Boogeyman,"Jun 02, 2023",62,66
161,The Angry Black Girl and Her Monster,"Jun 09, 2023",85,89
162,Close to Vermeer,"May 26, 2023",100,99
163,Lakota Nation vs. United States,"Jul 14, 2023",100,75
164,The Childe,"Jun 30, 2023",100,97
165,Return to Dust,"Jul 21, 2023",96,71
166,Chile '76,"May 05, 2023",91,97
167,Somewhere in Queens,"Apr 21, 2023",91,92
168,Scarlet,"Jun 09, 2023",78,98
169,Dalíland,"Jun 09, 2023",46,97
170,Revoir Paris,"Jun 23, 2023",93,
171,Biosphere,"Jul 07, 2023",80,75
172,It Ain't Over,"May 12, 2023",98,96
173,"Desperate Souls, Dark City and the Legend of Midnight Cowboy","Jun 23, 2023",88,78
174,The Cow Who Sang a Song Into the Future,"May 19, 2023",89,99
175,Black Ice,"Jul 14, 2023",96,90
176,Master Gardener,"May 19, 2023",70,55
177,The Last Rider,"Jun 23, 2023",95,100
178,Final Cut,"Jul 14, 2023",70,64
179,L'immensità,"May 12, 2023",82,63
180,The Beanie Bubble,"Jul 21, 2023",65,69
181,"Mother, May I?","Jul 21, 2023",79,75
182,Fear the Night,"Jul 21, 2023",40,33
183,Natty Knocks,"Jul 21, 2023",,
184,Terrifier,"Mar 15, 2018",55,52
185,See You on Venus,"Jul 21, 2023",,100
186,Ajmer 92,"Jul 21, 2023",,
187,Talk to Me,"Jul 28, 2023",95,73
188,Haunted Mansion,"Jul 28, 2023",43,
189,Sympathy for the Devil,"Jul 28, 2023",69,
190,The Beasts,"Jul 28, 2023",98,
191,KOKOMO CITY,"Jul 28, 2023",96,
192,Bobi Wine: The People's President,"Jul 28, 2023",100,
193,The Unknown Country,"Jul 28, 2023",84,
194,The Mistress,"Jul 28, 2023",,
195,Susie Searches,"Jul 28, 2023",60,
196,Shrapnel,"Jul 28, 2023",,
197,Sons of Summer,"Jul 28, 2023",,
198,Rocky Aur Rani Kii Prem Kahaani,"Jul 28, 2023",,
199,For the Animals,"Jul 28, 2023",,
200,Never Say Never,"Jul 28, 2023",,
201,Walid,"Jul 28, 2023",,
202,Bro,"Jul 28, 2023",,
203,Barbie,"Jul 21, 2023",90,86
204,Oppenheimer,"Jul 21, 2023",94,92
205,Sound of Freedom,"Jul 04, 2023",70,99
206,"Mission: Impossible - Dead Reckoning, Part One","Jul 12, 2023",96,94
207,Indiana Jones and the Dial of Destiny,"Jun 30, 2023",69,88
208,Insidious: The Red Door,"Jul 07, 2023",38,69
209,Elemental,"Jun 16, 2023",73,93
210,Spider-Man: Across the Spider-Verse,"Jun 02, 2023",96,94
211,Transformers: Rise of the Beasts,"Jun 09, 2023",52,91
212,No Hard Feelings,"Jun 23, 2023",71,87
213,The Little Mermaid,"May 26, 2023",67,94
214,Cobweb,"Jul 21, 2023",61,71
215,Joy Ride,"Jul 07, 2023",91,81
216,The Flash,"Jun 16, 2023",64,83
217,Asteroid City,"Jun 23, 2023",74,62
218,Theater Camp,"Jul 14, 2023",85,78
219,"Ruby Gillman, Teenage Kraken","Jun 30, 2023",66,81
220,Past Lives,"Jun 30, 2023",98,93
221,Guardians of the Galaxy Vol. 3,"May 05, 2023",82,94
222,The Super Mario Bros. Movie,"Apr 05, 2023",59,95
223,Fast X,"May 19, 2023",57,84
224,The Blackening,"Jun 16, 2023",87,85
225,The Lesson,"Jul 07, 2023",78,69
226,Afire,"Jul 14, 2023",91,50
227,The Boogeyman,"Jun 02, 2023",62,66
228,The Angry Black Girl and Her Monster,"Jun 09, 2023",85,89
229,Close to Vermeer,"May 26, 2023",100,99
230,Lakota Nation vs. United States,"Jul 14, 2023",100,75
231,The Childe,"Jun 30, 2023",100,97
232,Return to Dust,"Jul 21, 2023",96,71
233,Chile '76,"May 05, 2023",91,97
234,Somewhere in Queens,"Apr 21, 2023",91,92
235,Scarlet,"Jun 09, 2023",78,98
236,Dalíland,"Jun 09, 2023",46,97
237,Revoir Paris,"Jun 23, 2023",93,
238,Biosphere,"Jul 07, 2023",80,75
239,It Ain't Over,"May 12, 2023",98,96
240,"Desperate Souls, Dark City and the Legend of Midnight Cowboy","Jun 23, 2023",88,78
241,The Cow Who Sang a Song Into the Future,"May 19, 2023",89,99
242,Black Ice,"Jul 14, 2023",96,90
243,Master Gardener,"May 19, 2023",70,55
244,The Last Rider,"Jun 23, 2023",95,100
245,Final Cut,"Jul 14, 2023",70,64
246,L'immensità,"May 12, 2023",82,63
247,The Beanie Bubble,"Jul 21, 2023",61,69
